,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
機能分類,項目,仕様,最小値,最大値,初期値,必須,エラー時動作,備考,,
入力ファイル,ファイル形式,CSV または TSV,-,-,-,Y,読み込みエラー、処理中断,フォーマットは別途定義,,
入力ファイル,必須列,対象ファイルに依存（フレーム、座標、タグ等）,-,-,-,Y,フォーマットエラー、処理中断,ヘッダ行の有無で判定,,
入力ファイル,文字コード,UTF-8,-,-,-,Y,文字化けまたはデコードエラー,BOM有無の許容を要検討,,
入力ファイル,改行コード,LF または CRLF,-,-,-,Y,読み込みエラー、処理中断,,,
入力ファイル,ファイルサイズ,1ファイルあたりの容量,0 byte,1 GB,-,Y,メモリ不足/上限超過エラー,1GBは仮の制限値,,
入力ファイル,最大件数,ファイル内の行数,1行(ヘッダ),"1,000,000行",-,N,上限超過エラー、処理中断,,,
入力ファイル,重複データ,同一フレーム・同一座標などの重複行,-,-,-,-,警告を出力し後勝ちで上書き,処理を止めずにスキップも可,,
入力ファイル,空データ,必須項目が空（NULL/空白）の行,-,-,-,-,当該行をスキップし警告ログ出力,,,
入力ファイル,存在しない画像,画像フォルダに指定パスの画像がない,-,-,-,-,該当フレームの描画をスキップし警告,,,
入力ファイル,存在しないタグ,タグファイルに未定義のタグが指定された,-,-,-,-,デフォルト色(黒等)で描画し警告,,,
入力ファイル,欠損フレーム,連番の中で抜けがあるフレーム,-,-,-,-,描画なし（元画像のまま）で動画化,補完要件がなければそのまま,,
画像ファイル,フォーマット,PNG または JPEG,-,-,-,Y,読み込みエラー,,,
画像ファイル,解像度,任意のサイズ,1x1,8192x8192,-,Y,サイズ超過エラー,,,
画像ファイル,カラーモード,RGB または RGBA,-,-,-,Y,変換エラー,,,
フレーム,フレームレート(FPS),出力動画のFPS,1,120,30,Y,範囲外エラー,,,
フレーム,総フレーム数,処理対象の最大フレーム,1,100000,-,N,メモリ不足エラー,,,
座標,座標系,"左上原点 (X, Y)",-,-,-,Y,描画位置ズレ,,,
座標,X座標,描画X位置,0,画像幅,0,Y,画像外座標は描画対象外とし、警告ログに出力する。座標値自体は補正しない。,,,
座標,Y座標,描画Y位置,0,画像高さ,0,Y,画像外座標は描画対象外とし、警告ログに出力する。座標値自体は補正しない。,,,
タグ,タグ文字列,描画するテキスト,-,-,-,Y,空文字として処理,,,
タグ,文字サイズ,フォントサイズ(px),1,256,12,Y,デフォルトサイズ適用,,,
タグ,フォント,TTF または OTF,-,-,システム標準,N,デフォルトフォント適用,,,
タグ,文字色,RGB または RGBA(HEX),#000000,#FFFFFF,#000000,N,デフォルト色適用,,,
描画処理,描画順序,Zインデックス(重なり),0,1000,0,N,-,値が大きいほど手前,,
描画処理,アンチエイリアス,ON/OFF,-,-,ON,N,-,,,
描画処理,ブレンドモード,通常、乗算、加算など,-,-,通常,N,通常モードで描画,,,
描画処理,不透明度,アルファ値(0.0~1.0),0,1,1,N,範囲外はクランプ,,,
動画出力,出力形式,MP4 または AVI,-,-,MP4,Y,フォーマットエラー,,,
動画出力,コーデック,H.264 等,-,-,H.264,Y,コーデックエラー,,,
動画出力,ビットレート,映像ビットレート(kbps),100,50000,5000,N,デフォルト値適用,,,
動画出力,出力解像度,幅x高さ,1x1,8192x8192,1920x1080,Y,エラー終了,,,
動画出力,音声出力,音声の有無,-,-,OFF,N,-,現状は映像のみ想定,,
動画出力,出力先パス,保存先ディレクトリ,-,-,-,Y,書き込み権限エラー,,,
ログ,ログレベル,"INFO, WARN, ERROR",-,-,INFO,N,-,,,
ログ,ログ出力先,標準出力 または ファイル,-,-,標準出力,N,書き込みエラー,,,
UI,進捗表示,プログレスバーの表示,-,-,ON,N,-,,,
UI,プレビュー,処理中画像のプレビュー,-,-,OFF,N,-,パフォーマンスに影響,,
パフォーマンス,並列処理,スレッド数/プロセス数,1,64,CPUコア数,N,1スレッドで実行,,,
パフォーマンス,GPUアクセラレーション,ハードウェアエンコード,-,-,OFF,N,ソフトウェアエンコードへフォールバック,,,
パフォーマンス,メモリ制限,最大使用メモリ(GB),1,128,制限なし,N,メモリ不足エラー,,,
その他,一時ファイル,中間生成物の削除,-,-,ON(削除する),N,-,,,
画面分類,UI項目,入力方式,仕様,最小値,最大値,初期値,必須,入力チェック,エラー時動作,備考
**ファイル設定**,アノテーションファイルパス,ファイル選択 / テキスト,CSV/TSVファイルの絶対パス,-,-,空白,Y,ファイル存在チェック、拡張子チェック,入力枠を赤くハイライト、ツールチップでエラー表示,未指定の場合は実行不可。画像パス列が存在し、値が有効な場合は画像パス列を優先する。画像パス列が空の場合は、画像フォルダパスと画像ファイル名パターンから画像を特定する。
,補完ファイルパス,ファイル選択 / テキスト,CSV/TSVファイルの絶対パス,-,-,空白,N,ファイル存在チェック、拡張子チェック,入力項目を赤枠表示し、エラー一覧に詳細を表示する。必須エラーまたは形式エラーがある場合、実行ボタンを非活性化する。,任意。未指定時は補完点描画なし
,選別結果ファイルパス,ファイル選択 / テキスト,CSV/TSVファイルの絶対パス,-,-,空白,N,ファイル存在チェック、拡張子チェック,入力項目を赤枠表示し、エラー一覧に詳細を表示する。必須エラーまたは形式エラーがある場合、実行ボタンを非活性化する。,任意。未指定時はタグによる色変更なし
,タグファイルパス,ファイル選択 / テキスト,CSV/TSVファイルの絶対パス,-,-,空白,条件付き必須,ファイル存在チェック、拡張子チェック,入力項目を赤枠表示し、エラー一覧に詳細を表示する。必須エラーまたは形式エラーがある場合、実行ボタンを非活性化する。,選別結果ファイルを指定する場合は必須。未指定の場合、タグ色反映機能はOFF扱い。
,区切り文字,プルダウン,入力ファイルの区切り文字,-,-,自動判定,N,CSV/TSVとして判定可能か,エラー表示,自動判定/カンマ/タブ
,文字コード,プルダウン,入力ファイルの文字コード,-,-,UTF-8,Y,デコード可能か,エラー表示,UTF-8 BOM有無対応。Shift_JIS対応は要判断
,画像フォルダパス,フォルダ選択 / テキスト,連番画像が格納されたフォルダパス,-,-,空白,Y,フォルダ存在チェック、画像ファイル有無チェック,入力項目を赤枠表示し、エラー一覧に詳細を表示する。必須エラーまたは形式エラーがある場合、実行ボタンを非活性化する。,
,出力フォルダパス,フォルダ選択 / テキスト,動画の出力先フォルダパス,-,-,空白,Y,フォルダ存在チェック、書込権限チェック,入力項目を赤枠表示し、エラー一覧に詳細を表示する。必須エラーまたは形式エラーがある場合、実行ボタンを非活性化する。,
,出力動画ファイル名,テキスト,出力するmp4ファイル名,1文字,255文字,output.mp4,Y,"禁則文字(\ / : * ? "" < > |)チェック、拡張子チェック",入力項目を赤枠表示し、エラー一覧に詳細を表示する。必須エラーまたは形式エラーがある場合、実行ボタンを非活性化する。,拡張子未指定の場合は .mp4 を自動付与する。mp4以外の拡張子はエラー。同名ファイルが存在する場合は上書き確認ダイアログを表示する。
**出力設定**,上書き確認,チェックボックス,出力先に同名動画が存在する場合に確認する,-,-,ON,N,-,確認ダイアログを表示,OFFの場合は自動リネームするか要定義
,中間画像出力フォルダ,フォルダ選択 / テキスト,中間画像を保存するフォルダ,-,-,出力フォルダ配下/frame,条件付き,フォルダ存在・書込権限チェック,エラー表示,中間画像保存ON時のみ有効
**処理設定**,中間画像保存有無,チェックボックス,描画処理後の中間画像(連番)を保存するか,-,-,OFF,N,-,-,デバッグ・確認用途
,FPS,数値入力 / スライダー,出力動画のフレームレート,1,120,30,Y,数値チェック、範囲チェック,エラー表示、またはフォーカスが外れた際に初期値へ戻す,
